Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6
(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,
Acne, skin_rash, pus_filled_pimples, blackheads, scurring,,
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,
Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking,
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever, headache
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue, high_fever
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus,
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,
Heart attack, vomiting, breathlessness, sweating, chest_pain,,
Hepatitis B,itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, family_history
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea
Hepatitis E, joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,
Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, nausea
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness
Impetigo, skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze,
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin
Malaria, chills, vomiting, high_fever, sweating, headache, nausea
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea
Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,,
Varicose veins, fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite
